origin,target,horizon,pred,actual,variant
2025-01-22,2025-01-28,6,3538.9343946070985,3331.0,informed
2025-01-22,2025-01-29,7,4731.74431851059,5335.0,informed
2025-01-29,2025-01-30,1,5698.962501537957,6264.0,informed
2025-01-29,2025-01-31,2,7593.2704762622325,7252.0,informed
2025-01-29,2025-02-01,3,9003.522693772924,7756.0,informed
2025-01-29,2025-02-02,4,7890.073922602305,7727.0,informed
2025-01-29,2025-02-03,5,7051.396184991216,7545.0,informed
2025-01-29,2025-02-04,6,6799.639449926573,7642.0,informed
2025-01-29,2025-02-05,7,5867.477160217421,7150.0,informed
2025-02-05,2025-02-06,1,5716.088613615237,6869.0,informed
2025-02-05,2025-02-07,2,6209.672789614754,7305.0,informed
2025-02-05,2025-02-08,3,7498.591014324837,7294.0,informed
2025-02-05,2025-02-09,4,6831.734697034202,6525.0,informed
2025-02-05,2025-02-10,5,6570.106968506728,6163.0,informed
2025-02-05,2025-02-11,6,6600.623383938253,6140.0,informed
2025-02-05,2025-02-12,7,6500.087393275603,5747.0,informed
2025-02-12,2025-02-13,1,6263.937683004156,5995.0,informed
2025-02-12,2025-02-14,2,6782.724214914991,6622.0,informed
2025-02-12,2025-02-15,3,7126.494475779053,7363.0,informed
2025-02-12,2025-02-16,4,6800.707368199028,7109.0,informed
2025-02-12,2025-02-17,5,6190.572285673438,6926.0,informed
2025-02-12,2025-02-18,6,6498.329394843066,6924.0,informed
2025-02-12,2025-02-19,7,6821.73402128982,7607.0,informed
2025-02-19,2025-02-20,1,6921.0753272974,7133.0,informed
2025-02-19,2025-02-21,2,7256.153123374277,7662.0,informed
2025-02-19,2025-02-22,3,7619.225150280517,8234.0,informed
2025-02-19,2025-02-23,4,7217.635219813131,7736.0,informed
2025-02-19,2025-02-24,5,6605.963967500446,6807.0,informed
2025-02-19,2025-02-25,6,6662.74890077387,6847.0,informed
2025-02-19,2025-02-26,7,6821.7758689072625,7477.0,informed
2025-02-26,2025-02-27,1,6964.971004424078,7481.0,informed
2025-02-26,2025-02-28,2,7216.851303970883,7283.0,informed
2025-02-26,2025-03-01,3,7948.444906678259,7870.0,informed
2025-02-26,2025-03-02,4,7648.062030510824,7022.0,informed
2025-02-26,2025-03-03,5,6992.0019886875,7295.0,informed
2025-02-26,2025-03-04,6,7002.666071456053,7199.0,informed
2025-02-26,2025-03-05,7,7105.946680806671,7107.0,informed
2025-03-26,2025-03-27,1,7194.884513895815,6936.0,informed
2025-03-26,2025-03-28,2,7188.834608860563,7674.0,informed
2025-03-26,2025-03-29,3,7668.324655902676,7756.0,informed
2025-03-26,2025-03-30,4,7249.789442332776,6660.0,informed
2025-03-26,2025-03-31,5,6928.846300556547,5971.0,informed
2025-03-26,2025-04-01,6,6887.337040269532,6047.0,informed
2025-03-26,2025-04-02,7,6848.695237566293,6218.0,informed
2025-04-02,2025-04-03,1,6369.408732702039,6169.0,informed
2025-04-02,2025-04-04,2,6825.69419649957,6909.0,informed
2025-04-02,2025-04-05,3,7343.039592270232,7175.0,informed
2025-04-02,2025-04-06,4,6768.88180979849,5644.0,informed
2025-04-02,2025-04-07,5,6449.662239962808,5625.0,informed
2025-04-02,2025-04-08,6,6809.433798437784,6425.0,informed
