origin,target,horizon,pred,actual,variant
2018-05-23,2018-05-26,3,4608.872017723731,4372.0,off
2018-05-23,2018-05-27,4,4226.092743479544,3869.0,off
2018-05-23,2018-05-28,5,3703.392587051707,3703.0,off
2018-05-23,2018-05-29,6,3643.0321418983135,3586.0,off
2018-05-23,2018-05-30,7,3571.4811988514316,3508.0,off
2018-05-30,2018-05-31,1,3676.7910566064616,3624.0,off
2018-05-30,2018-06-01,2,4102.722812951334,3747.0,off
2018-05-30,2018-06-02,3,4367.425383008374,4204.0,off
2018-05-30,2018-06-03,4,4228.376558003278,3816.0,off
2018-05-30,2018-06-04,5,3768.6914601532153,3581.0,off
2018-05-30,2018-06-05,6,3768.029836419408,3458.0,off
2018-05-30,2018-06-06,7,3799.976766845636,3677.0,off
2018-06-15,2018-06-16,1,4299.960152167647,3980.0,off
2018-06-15,2018-06-17,2,4000.5278584829157,4237.0,off
2018-06-15,2018-06-18,3,3888.015186515108,3726.0,off
2018-06-15,2018-06-19,4,3123.2952764535585,3182.0,off
2018-06-15,2018-06-20,5,3587.4462545040074,3520.0,off
2018-06-15,2018-06-21,6,3795.1412760518606,3701.0,off
2018-06-15,2018-06-22,7,4048.4375980522777,4145.0,off
2018-07-13,2018-07-14,1,4777.814474141574,5016.0,off
2018-07-13,2018-07-15,2,4307.514423429956,4483.0,off
2018-07-13,2018-07-16,3,3834.4976071228025,4291.0,off
2018-07-13,2018-07-17,4,3662.5203623498865,4265.0,off
2018-07-13,2018-07-18,5,3954.130614649026,4700.0,off
2018-07-13,2018-07-19,6,4078.1124823060704,4913.0,off
2018-07-13,2018-07-20,7,4259.058184979172,4752.0,off
2018-10-03,2018-10-04,1,5004.471695481389,5144.0,off
2018-10-03,2018-10-05,2,4964.827713601731,5467.0,off
2018-10-03,2018-10-06,3,5093.250890290822,4587.0,off
2018-10-03,2018-10-07,4,4371.984772113739,3928.0,off
2018-10-03,2018-10-08,5,4318.730166579206,3920.0,off
2018-10-03,2018-10-09,6,3974.405540099819,4023.0,off
2018-10-03,2018-10-10,7,4273.529732086068,4749.0,off
2018-10-10,2018-10-11,1,4566.631661220811,4869.0,off
2018-10-10,2018-10-12,2,4485.435510713121,4584.0,off
2018-10-10,2018-10-13,3,4598.628453647289,5052.0,off
2018-10-10,2018-10-14,4,4088.0648600466543,4494.0,off
2018-10-10,2018-10-15,5,4084.2759191777495,4395.0,off
2018-10-10,2018-10-16,6,4356.376344861802,4682.0,off
2018-10-10,2018-10-17,7,4734.383568471999,4804.0,off
2018-12-19,2018-12-20,1,4550.631588600428,4722.0,off
2018-12-19,2018-12-21,2,4672.25805352393,4619.0,off
2018-12-19,2018-12-22,3,4947.238602998046,4900.0,off
2018-12-19,2018-12-23,4,4748.6909820124365,4918.0,off
2018-12-19,2018-12-24,5,4359.832265405272,4640.0,off
2018-12-19,2018-12-25,6,4422.1192746674815,4522.0,off
2018-12-19,2018-12-26,7,4453.384090751278,4620.0,off
2018-12-26,2018-12-27,1,4632.594830096314,4889.0,off
2018-12-26,2018-12-28,2,4606.773395289588,4715.0,off
2018-12-26,2018-12-29,3,4626.965423552455,4973.0,off
2018-12-26,2018-12-30,4,4802.589305720726,5071.0,off
2018-12-26,2018-12-31,5,4515.054682834681,5297.0,off
2018-12-26,2019-01-01,6,4275.721618660043,4796.0,off
2018-12-26,2019-01-02,7,4291.0940819059715,4470.0,off
2019-01-02,2019-01-03,1,4517.197338576633,4671.0,off
2019-01-02,2019-01-04,2,4689.465453276555,5001.0,off
2019-01-02,2019-01-05,3,4978.043393970044,5189.0,off
2019-01-02,2019-01-06,4,4417.603199132597,4589.0,off
2019-01-02,2019-01-07,5,4233.513972194554,4333.0,off
2019-01-02,2019-01-08,6,4156.124690627513,4399.0,off
2019-01-02,2019-01-09,7,4398.1112620308895,4531.0,off
2019-01-16,2019-01-17,1,4825.685392038157,5089.0,off
2019-01-16,2019-01-18,2,4916.600830698593,4763.0,off
2019-01-16,2019-01-19,3,5219.6590618222335,5300.0,off
2019-01-16,2019-01-20,4,4805.359345843546,4596.0,off
2019-01-16,2019-01-21,5,4362.612619217848,4503.0,off
2019-01-16,2019-01-22,6,4417.699248118105,4269.0,off
2019-01-16,2019-01-23,7,4674.934507599142,4421.0,off
2019-01-23,2019-01-24,1,4435.782553437114,4820.0,off
