target_date,horizon,y,lag_365,is_hol,lgbm_l2,lgbm_q,xgb,cat,lgbm_bag,v3_2stage,dow,ridge,enet,xtrees,rf
2025-10-18,18,8454.0,7265.0,0,7866.84545130504,7478.860260038438,7803.5317,7705.188267296701,7828.243502696635,7866.84545130504,5,7974.705985668854,8312.081367157087,7881.460414592651,7862.406266778391
2025-10-19,18,7329.0,7391.0,0,7323.277194651525,6927.833144782806,7192.6455,7167.359761107513,7279.820859939668,7323.277194651525,6,7341.102640758503,7750.883336167487,7265.913066271638,7232.4986756109165
2025-10-20,18,6662.0,7127.0,0,6748.157088906577,6806.613836266041,6767.58,6732.058771700561,6784.859666265445,6748.157088906577,0,5958.210816937589,7294.528028981075,6798.373180109434,6679.59602825517
2025-10-21,18,7106.0,6594.0,0,6848.105891902188,6835.035577779001,6931.6997,6920.016889053951,6776.595701369538,6848.105891902188,1,6046.383284952815,7214.149653274453,6823.9085971878785,6634.034387356562
2025-10-22,18,7095.0,6428.0,0,6867.669315401537,6857.600816214985,6923.105,6737.415750398768,6757.897108141835,6867.669315401537,2,6169.729579729111,7354.145628043314,6936.647208734666,6524.2542114436155
2025-10-23,18,6697.0,6551.0,0,6881.302090208786,6895.394816936635,6851.331,6762.265312272191,6889.830538550475,6881.302090208786,3,6343.823835956158,7748.6365015743,6942.327616100989,6718.124422851174
2025-10-24,18,7163.0,6855.0,0,7197.637482372337,7067.863669109601,7299.6577,7011.011315083154,7113.683874573653,7197.637482372337,4,6535.3650221315975,7884.002570607498,7075.39141823322,7000.211044866939
2025-10-25,18,7740.0,7090.0,0,7536.708338419098,7552.358100406411,7514.4614,7606.589751442764,7586.478524298697,7536.708338419098,5,7178.245782045301,8334.47179611811,7716.623587647259,7779.4935392346915
2025-10-26,18,7128.0,7869.0,0,7015.966521698537,6945.1493227565925,6998.137,7131.603847254987,7025.078372096065,7015.966521698537,6,6721.016975590131,7718.662671310816,7168.917584228129,6955.628801632886
2025-10-27,18,6818.0,6784.0,0,6767.873087964632,6553.120763277537,6566.8506,6531.150306896803,6780.9925705008645,6767.873087964632,0,7287.897510672501,7096.16368432019,6777.1479013819435,6646.841020925538
2025-10-28,18,7071.0,6256.0,0,6699.081479807984,6616.567548369269,6474.121,6739.695347022872,6797.696310521267,6699.081479807984,1,7715.010157539461,7045.732099976218,6811.361274475612,6681.821903754615
2025-10-01,19,8165.0,7437.0,1,7818.818029141234,7445.309188182149,7567.5674,7609.747512197167,7848.092210450702,7817.81957370399,2,7404.155597334253,7800.808305186856,7610.5322899108205,7369.417778899409
2025-10-02,19,8537.0,8012.0,1,8087.892683358556,7529.978280424541,7360.308,7700.446143409909,7930.473867096953,8079.457456112215,3,7466.409273780236,7871.020807720573,7732.730100458443,7610.684431842072
2025-10-03,19,8428.0,7787.0,1,7874.428153461672,7726.491119878679,7663.3247,7636.329460738985,7931.689064207327,7871.182545342628,4,7751.46591199039,7938.314384147277,7782.696504394775,7702.937799965066
2025-10-04,19,7964.0,7679.0,1,8054.879504087444,7976.178310820203,7832.6387,7715.881590243853,8070.619855948341,8059.2529940686545,5,7781.759881353306,7930.830913885943,8004.449234853156,7803.966959666135
2025-10-05,19,7425.0,7612.0,1,7432.384333293822,7326.165891790518,7252.119,7341.204036475367,7465.455477450802,7426.978078771262,6,5940.755081941362,6640.471268894523,7202.730442409052,7076.614365610043
2025-10-06,19,6625.0,7318.0,1,6765.623736304525,6559.794400522614,6537.199,7039.828009326223,6920.090070471994,6801.778159738806,0,5903.994029081021,5960.492878152843,5388.9192381066305,6188.926664662476
